docker exec -it spark-jupyter python3 /opt/work/scripts/kafka_producer.py --delay 0.005
Found 12 parquet file(s)
Connected to Kafka  : kafka:9092
Topic               : network-traffic
Delay               : 0.005s (~200 rec/s)
Max records         : all

  Sent:    5,000  |  Failed: 0  |  Rate: 135 rec/s
  Sent:   10,000  |  Failed: 0  |  Rate: 147 rec/s
  Sent:   15,000  |  Failed: 0  |  Rate: 152 rec/s
  Sent:   20,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:   25,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   30,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:   35,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:   40,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:   45,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:   50,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   55,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:   60,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   65,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   70,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   75,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:   80,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:   85,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   90,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:   95,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  100,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  105,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  110,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  115,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  120,000  |  Failed: 0  |  Rate: 158 rec/s
  Sent:  125,000  |  Failed: 0  |  Rate: 158 rec/s
  Sent:  130,000  |  Failed: 0  |  Rate: 158 rec/s
  Sent:  135,000  |  Failed: 0  |  Rate: 158 rec/s
  Sent:  140,000  |  Failed: 0  |  Rate: 158 rec/s
  Sent:  145,000  |  Failed: 0  |  Rate: 158 rec/s
  Sent:  150,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  155,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  160,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  165,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  170,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  175,000  |  Failed: 0  |  Rate: 157 rec/s
  Sent:  180,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  185,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  190,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  195,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  200,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  205,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  210,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  215,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  220,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  225,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  230,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  235,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  240,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  245,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  250,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  255,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  260,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  265,000  |  Failed: 0  |  Rate: 156 rec/s
  Sent:  270,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  275,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  280,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  285,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  290,000  |  Failed: 0  |  Rate: 155 rec/s
