,precision,recall,f1-score,support
Benign,0.9592467963591704,0.984066109260965,0.9714979610172289,903232.0
DDOS attack-HOIC,0.9998250201712858,0.9999902772916424,0.9999076419033546,205704.0
DDoS attacks-LOIC-HTTP,0.9967474763901635,0.9947369031196022,0.9957411748323161,172522.0
DoS attacks-Hulk,0.9994205921548178,0.9997246975295225,0.9995726217122658,138030.0
Bot,0.9948524126417325,0.9997203905212386,0.9972804611594068,85834.0
FTP-BruteForce,0.7019511529540183,0.8865108905431486,0.7835092368376967,58032.0
SSH-Bruteforce,0.9992555039529195,0.9986890125075293,0.9989721779195463,56446.0
Infilteration,0.5899845121321632,0.23294875453544783,0.334015315367978,49058.0
DoS attacks-SlowHTTPTest,0.7526833295804248,0.4788006111535523,0.585286135348878,41888.0
DoS attacks-GoldenEye,0.9957956015523933,0.9996753246753247,0.9977316915100454,12320.0
DoS attacks-Slowloris,0.9573847051955633,0.9897404948702474,0.973293768545994,3314.0
DDOS attack-LOIC-UDP,0.6854838709677419,1.0,0.8133971291866029,510.0
Brute Force -Web,0.2345679012345679,0.59375,0.336283185840708,192.0
Brute Force -XSS,0.04428904428904429,0.8837209302325582,0.08435072142064373,86.0
SQL Injection,0.004108885464817668,0.6153846153846154,0.00816326530612245,26.0
accuracy,0.9527430039706021,0.9527430039706021,0.9527430039706021,0.9527430039706021
macro avg,0.7277064536693884,0.8438306007750263,0.7252668325272524,1727194.0
weighted avg,0.9500058777278103,0.9527430039706021,0.9479511177127888,1727194.0
