Class,Attack,Precision,Recall,F1-Score,Support
0,Benign,0.9592,0.9841,0.9715,903232
1,DDOS attack-HOIC,0.9998,1.0,0.9999,205704
2,DDoS attacks-LOIC-HTTP,0.9967,0.9947,0.9957,172522
3,DoS attacks-Hulk,0.9994,0.9997,0.9996,138030
4,Bot,0.9949,0.9997,0.9973,85834
5,FTP-BruteForce,0.702,0.8865,0.7835,58032
6,SSH-Bruteforce,0.9993,0.9987,0.999,56446
7,Infilteration,0.59,0.2329,0.334,49058
8,DoS attacks-SlowHTTPTest,0.7527,0.4788,0.5853,41888
9,DoS attacks-GoldenEye,0.9958,0.9997,0.9977,12320
10,DoS attacks-Slowloris,0.9574,0.9897,0.9733,3314
11,DDOS attack-LOIC-UDP,0.6855,1.0,0.8134,510
12,Brute Force -Web,0.2346,0.5938,0.3363,192
13,Brute Force -XSS,0.0443,0.8837,0.0844,86
14,SQL Injection,0.0041,0.6154,0.0082,26
