,precision,recall,f1-score,support
Benign,0.9594866313840437,0.9879366541486573,0.9735038287278412,903232.0
DDOS attack-HOIC,0.9997861440805653,0.9999902772916424,0.9998882002673471,205704.0
DDoS attacks-LOIC-HTTP,0.997998137802607,0.9940529323796385,0.9960216284026693,172522.0
DoS attacks-Hulk,0.9992757401935222,0.9995798014924292,0.9994277477164236,138030.0
Bot,0.9973958938826757,0.9995339842020644,0.9984637944277635,85834.0
FTP-BruteForce,0.7053943179035024,0.7940791287565481,0.7471141374837873,58032.0
SSH-Bruteforce,0.9988301605870467,0.9983346915636183,0.9985823646158208,56446.0
Infilteration,0.6047101066638505,0.23343797138081454,0.33684334372610153,49058.0
DoS attacks-SlowHTTPTest,0.6534533494893543,0.5407276546982429,0.5917700849118224,41888.0
DoS attacks-GoldenEye,0.9921056871274367,0.9996753246753247,0.995876121937414,12320.0
DoS attacks-Slowloris,0.9576119402985075,0.968014484007242,0.9627851140456183,3314.0
DDOS attack-LOIC-UDP,0.6818181818181818,1.0,0.8108108108108109,510.0
Brute Force -Web,0.20520231213872833,0.7395833333333334,0.3212669683257919,192.0
Brute Force -XSS,0.04521963824289406,0.813953488372093,0.08567931456548347,86.0
SQL Injection,0.012802275960170697,0.6923076923076923,0.025139664804469275,26.0
accuracy,0.953048702114528,0.953048702114528,0.953048702114528,0.953048702114528
macro avg,0.7207393678382059,0.8507471612406227,0.7228782083179442,1727194.0
weighted avg,0.9484498735186199,0.953048702114528,0.948039493923466,1727194.0
