Class,Attack,Precision,Recall,F1-Score,Support
0,Benign,0.9595,0.9879,0.9735,903232
1,DDOS attack-HOIC,0.9998,1.0,0.9999,205704
2,DDoS attacks-LOIC-HTTP,0.998,0.9941,0.996,172522
3,DoS attacks-Hulk,0.9993,0.9996,0.9994,138030
4,Bot,0.9974,0.9995,0.9985,85834
5,FTP-BruteForce,0.7054,0.7941,0.7471,58032
6,SSH-Bruteforce,0.9988,0.9983,0.9986,56446
7,Infilteration,0.6047,0.2334,0.3368,49058
8,DoS attacks-SlowHTTPTest,0.6535,0.5407,0.5918,41888
9,DoS attacks-GoldenEye,0.9921,0.9997,0.9959,12320
10,DoS attacks-Slowloris,0.9576,0.968,0.9628,3314
11,DDOS attack-LOIC-UDP,0.6818,1.0,0.8108,510
12,Brute Force -Web,0.2052,0.7396,0.3213,192
13,Brute Force -XSS,0.0452,0.814,0.0857,86
14,SQL Injection,0.0128,0.6923,0.0251,26
