Class,Attack,TP,FP,FN,Precision,Recall,F1-Score
0,Benign,410888,60107,40728,0.8724,0.9098,0.8907
1,DDOS attack-HOIC,102852,5294,0,0.951,1.0,0.9749
2,DDoS attacks-LOIC-HTTP,68132,19074,18129,0.7813,0.7898,0.7855
3,DoS attacks-Hulk,65155,13185,3860,0.8317,0.9441,0.8843
4,Bot,20590,9703,22327,0.6797,0.4798,0.5625
5,FTP-BruteForce,22778,10512,6238,0.6842,0.785,0.7312
6,SSH-Bruteforce,22188,203,6035,0.9909,0.7862,0.8768
7,Infilteration,1129,715,23400,0.6123,0.046,0.0856
8,DoS attacks-SlowHTTPTest,11516,6865,9428,0.6265,0.5498,0.5857
9,DoS attacks-GoldenEye,4758,3802,1402,0.5558,0.7724,0.6465
10,DoS attacks-Slowloris,1132,59,525,0.9505,0.6832,0.7949
11,DDOS attack-LOIC-UDP,255,533,0,0.3236,1.0,0.489
12,Brute Force -Web,20,799,76,0.0244,0.2083,0.0437
13,Brute Force -XSS,15,1337,28,0.0111,0.3488,0.0215
14,SQL Injection,0,1,13,0.0,0.0,0.0
